82,MagnÃŒÂ©ton,M,o,ELECTRIK,ACIER
83,Canarticho,M,n,NORMAL,VOL
84,Doduo,M,n,NORMAL,VOL
85,Dodrio,M,o,NORMAL,VOL
86,Otaria,M,n,EAU,
87,Lamantine,M,o,EAU,GLACE
88,Tadmorv,M,n,POISON,
89,Grotadmorv,M,o,POISON,
90,Kokiyas,L,n,EAU,
91,Crustabri,L,o,EAU,GLACE
92,Fantominus,P,n,SPECTRE,POISON
93,Spectrum,P,o,SPECTRE,POISON
94,Ectoplasma,P,o,SPECTRE,POISON
95,Onix,M,n,ROCHE,SOL
96,Soporifik,M,n,PSY,
97,Hypnomade,M,o,PSY,
98,Krabby,M,n,EAU,
99,Krabboss,M,o,EAU,
100,Voltorbe,M,n,ELECTRIK,
101,Electrode,M,o,ELECTRIK,
102,Noeunoeuf,L,n,PLANTE,PSY
103,Noadkoko,L,o,PLANTE,PSY
104,Osselait,M,n,SOL,
105,Ossatueur,M,o,SOL,
106,Kicklee,M,n,COMBAT,
107,Tygnon,M,n,COMBAT,
108,Excelangue,M,n,NORMAL,
109,Smogo,M,n,POISON,
110,Smogogo,M,o,POISON,
111,Rhinocorne,L,n,SOL,ROCHE
112,Rhinoféros,L,o,SOL,ROCHE
113,Leveinard,R,n,NORMAL,
114,Saquedeneu,M,n,PLANTE,
115,Kangourex,M,n,NORMAL,
116,Hypotrempe,M,n,EAU,
117,HypocÃŒÂ©an,M,o,EAU,
118,PoissirÃŒÂ¬ne,M,n,EAU,
119,Poissoroy,M,o,EAU,
120,Stari,L,n,EAU,
121,Staross,L,o,EAU,PSY
122,M. Mime,M,n,PSY,FEE
123,Insécateur,M,n,INSECTE,VOL
124,Lippoutou,M,n,GLACE,PSY
125,Elektek,M,n,ELECTRIK,
126,Magmar,M,n,FEU,
127,Scarabrute,L,n,INSECTE,
128,Tauros,L,n,NORMAL,
129,Magicarpe,L,n,EAU,
130,Léviator,L,o,EAU,VOL
131,Lokhlass,L,n,EAU,GLACE
132,Métamorph,M,n,NORMAL,
133,Evoli,M,n,NORMAL,
134,Aquali,M,o,EAU,
135,Voltali,M,o,ELECTRIK,
136,Pyroli,M,o,FEU,
137,Porygon,M,n,NORMAL,
138,Amonita,M,n,ROCHE,EAU
139,Amonistar,M,o,ROCHE,EAU
140,Kabuto,M,n,ROCHE,EAU
141,Kabutops,M,o,ROCHE,EAU
142,Ptéra,L,n,ROCHE,VOL
143,Ronflex,L,n,NORMAL,
144,Artikodin,L,n,GLACE,VOL
145,Electhor,L,n,ELECTRIK,VOL
146,Sulfura,L,n,FEU,VOL
147,Minidraco,L,n,DRAGON,
148,Draco,L,o,DRAGON,
149,Dracolosse,L,o,DRAGON,VOL
150,Mewtwo,L,n,PSY,
151,Mew,P,n,PSY,
